epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13898.3,1.03803,0.44985,1.1214,0.87128,0.83054,0.86942,0.4826,1.38113,0.64948,1.14167,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,14306.2,1.04386,0.45556,1.11882,0.86625,0.82708,0.86896,0.48222,1.38096,0.64123,1.14327,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,14721.2,1.03157,0.44925,1.11534,0.87574,0.82454,0.87173,0.48511,1.38057,0.63627,1.14349,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,15143.6,1.03168,0.44799,1.10796,0.87249,0.82653,0.87245,0.48497,1.38265,0.63493,1.14561,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,15545.3,1.02356,0.44412,1.10394,0.87448,0.82454,0.87156,0.48496,1.38084,0.63495,1.14637,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,15956.2,1.02426,0.43987,1.10447,0.87389,0.82454,0.87197,0.4856,1.37864,0.63403,1.14411,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,16370.5,1.01568,0.43626,1.10629,0.87035,0.82793,0.87242,0.48436,1.37831,0.63435,1.14521,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,16792.6,1.00969,0.43523,1.10224,0.86856,0.8318,0.87402,0.48498,1.37735,0.63549,1.14484,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,17349.8,1.00994,0.43419,1.09757,0.87317,0.82645,0.87474,0.48456,1.37752,0.63372,1.14324,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,17873.3,1.00631,0.43224,1.10642,0.87014,0.83535,0.87619,0.48392,1.37821,0.631,1.14271,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,18302.2,1.00065,0.43157,1.09948,0.87124,0.82899,0.87572,0.48523,1.37872,0.6284,1.14355,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,18722.5,0.9968,0.42905,1.09464,0.86861,0.83213,0.87614,0.48641,1.37932,0.62829,1.14399,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,19090.5,0.9946,0.42466,1.09358,0.86773,0.83413,0.87651,0.48693,1.37912,0.6277,1.14444,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,19472.6,0.98484,0.42526,1.08809,0.86694,0.83408,0.87657,0.48646,1.37935,0.62744,1.14569,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
